"LGA_CODE_2016","sex","age","pop_pct"
"LGA21670","P",0,0.777222008464794
"LGA21750","P",0,1.05378600038146
"LGA21830","P",0,0.94698149647997
"LGA21890","P",0,1.184577321274
"LGA22110","P",0,0.981349911190053
"LGA22170","P",0,1.3157600471139
"LGA22250","P",0,0.966916295383449
"LGA22310","P",0,1.15208518189885
"LGA22410","P",0,1.03287825331084
"LGA22490","P",0,1.18037624492807
"LGA22620","P",0,1.17128452075998
"LGA22670","P",0,1.38572837882276
"LGA22750","P",0,1.13010808425688
"LGA22830","P",0,1.27355608816204
"LGA22910","P",0,0.834964122635356
"LGA22980","P",0,0.891452543261667
"LGA23110","P",0,1.38435197909392
"LGA23190","P",0,1.12004887485999
"LGA23270","P",0,1.48751621271077
"LGA23350","P",0,0.796138415245737
"LGA23430","P",0,1.15530190436557
"LGA23670","P",0,1.13165920446434
"LGA23810","P",0,1.14937821641618
"LGA23940","P",0,0.798296966471527
"LGA24130","P",0,1.17136659436009
"LGA24210","P",0,0.812868263730592
"LGA24250","P",0,0.862068965517241
"LGA24330","P",0,1.4546470931363
"LGA24410","P",0,1.27020366746394
"LGA24600","P",0,0.841430137026604
"LGA24650","P",0,1.59698175616311
"LGA24780","P",0,1.2008612049445
"LGA24850","P",0,1.25617087834205
"LGA24900","P",0,1.03050288540808
"LGA24970","P",0,0.883812110525797
"LGA25060","P",0,1.16224254527689
"LGA25150","P",0,1.05914890942234
"LGA25250","P",0,1.31829869954109
"LGA25340","P",0,0.897425144678353
"LGA25430","P",0,0.826181973242364
"LGA25490","P",0,1.05486511063959
"LGA25620","P",0,0.808330905913195
"LGA25710","P",0,0.91067843911674
"LGA25810","P",0,0.952880496546901
"LGA25900","P",0,1.14908341017023
"LGA25990","P",0,0.60790273556231
"LGA26080","P",0,0.490711531720995
"LGA26170","P",0,1.0173152632129
"LGA26260","P",0,1.0725037631711
"LGA26350","P",0,0.890862161953926
"LGA26430","P",0,0.759197975472065
"LGA26490","P",0,1.13957206517672
"LGA26610","P",0,1.24854255732608
"LGA26670","P",0,0.985797827903091
"LGA26700","P",0,1.01730837160014
"LGA26730","P",0,1.17961669885604
"LGA26810","P",0,1.02366051694856
"LGA26890","P",0,0.973610043556239
"LGA26980","P",0,0.947074865188366
"LGA27070","P",0,1.6020983234679
"LGA27170","P",0,1.34431145333028
"LGA27260","P",0,1.8335313786719
"LGA27350","P",0,1.07550457551035
"LGA27450","P",0,1.11343680828156
"LGA27630","P",0,0.958945160323644
"LGA29399","P",0,1.02739726027397
"LGA29499","P",0,1.24256444150694
"LGA29799","P",0,0
"LGA30250","P",0,1.33963750985028
"LGA30300","P",0,1.46218871373087
"LGA30370","P",0,1.38976185487813
"LGA30410","P",0,1.11692844677138
"LGA30450","P",0,1.12359550561798
"LGA30760","P",0,1.20861797162375
"LGA30900","P",0,0.938967136150235
"LGA31000","P",0,1.16526912757314
"LGA31750","P",0,0.84985835694051
"LGA31820","P",0,0.86978050959665
"LGA31900","P",0,0.878528757174652
"LGA31950","P",0,0
"LGA32080","P",0,1.17590072721015
"LGA32250","P",0,0.663942798774259
"LGA32260","P",0,1.04783123302931
"LGA32270","P",0,1.72149005321619
"LGA32310","P",0,1.01886156955204
"LGA32330","P",0,2.52167060677699
"LGA32450","P",0,1.41820580474934
"LGA32500","P",0,1.20681495504023
"LGA32600","P",0,2.04081632653061
"LGA32750","P",0,0
"LGA32770","P",0,2.63345195729537
"LGA32810","P",0,1.02441522963975
"LGA33100","P",0,1.6270337922403
"LGA33200","P",0,1.171875
"LGA33220","P",0,0.810805485498108
"LGA33360","P",0,1.36275146009085
"LGA33430","P",0,1.088855738761
"LGA33610","P",0,1.19473189087488
"LGA33620","P",0,0.90599083920176
"LGA33800","P",0,0.698208543867708
"LGA33830","P",0,2.39651416122004
"LGA33960","P",0,1.53871565505102
"LGA33980","P",0,1.77650429799427
"LGA34420","P",0,1.3771186440678
"LGA34530","P",0,0.973202470224967
"LGA34570","P",0,1.40449438202247
"LGA34580","P",0,1.00753710274806
"LGA34590","P",0,1.36723513939338
"LGA34710","P",0,1.09289617486339
"LGA34770","P",0,1.28034513651506
"LGA34800","P",0,1.25628140703518
"LGA34830","P",0,4.51612903225806
"LGA34860","P",0,1.2553292278541
"LGA34880","P",0,0.923134016792689
"LGA35010","P",0,1.19961815368844
"LGA35250","P",0,1.39982502187227
"LGA35300","P",0,1.76209094317391
"LGA35600","P",0,1.62526120269329
"LGA35670","P",0,1.67189132706374
"LGA35740","P",0,0.651977986155056
"LGA35760","P",0,0.887573964497041
"LGA35780","P",0,2.21745350500715
"LGA35790","P",0,2.78004905968929
"LGA35800","P",0,1.03658536585366
"LGA36070","P",0,1.73564753004005
"LGA36150","P",0,1.3530135301353
"LGA36250","P",0,0.985647234881981
"LGA36300","P",0,1.64348925410872
"LGA36370","P",0,1.26558462734867
"LGA36510","P",0,0.826013176282691
"LGA36580","P",0,1.06110501280644
"LGA36630","P",0,0.925868389983222
"LGA36660","P",0,1.07946454001709
"LGA36720","P",0,0.942021354295828
"LGA36820","P",0,0.882104160792685
"LGA36910","P",0,1.18236834412454
"LGA36950","P",0,1.24653739612188
"LGA36960","P",0,1.97164377492246
"LGA37010","P",0,1.28669875827948
"LGA37300","P",0,1.61331626120359
"LGA37310","P",0,1.28872144480325
"LGA37340","P",0,1.12203209189413
"LGA37400","P",0,1.23456790123457
"LGA37550","P",0,2.18295218295218
"LGA37570","P",0,1.06382978723404
"LGA37600","P",0,1.52403282532239
"LGA39499","P",0,0.479616306954436
"LGA39799","P",0,0
"LGA40070","P",0,0.602819199564882
"LGA40120","P",0,0.957208656048169
"LGA40220","P",0,0.823252038804932
"LGA40250","P",0,1.44991212653779
"LGA40310","P",0,0.904151455980983
"LGA40430","P",0,0.550314465408805
"LGA40520","P",0,1.10953058321479
"LGA40700","P",0,0.735578784359272
"LGA40910","P",0,1.00470456901364
"LGA41010","P",0,1.64319248826291
"LGA41060","P",0,1.0835816354835
"LGA41140","P",0,0.964202593372493
"LGA41190","P",0,0.959909655561829
"LGA41330","P",0,0.964812712826334
"LGA41560","P",0,0.834571044628333
"LGA41750","P",0,1.05263157894737
"LGA41830","P",0,1.21728545343883
"LGA41960","P",0,1.2326656394453
"LGA42030","P",0,1.02457237127724
"LGA42110","P",0,0.967117988394584
"LGA42250","P",0,0.743630379129587
"LGA42600","P",0,0.772058823529412
"LGA42750","P",0,0.829434283283709
"LGA43080","P",0,0.917431192660551
"LGA43220","P",0,1.50801131008483
"LGA43360","P",0,1.19199659429544
"LGA43650","P",0,1.01791530944625
"LGA43710","P",0,0.961887477313975
"LGA43790","P",0,1.05336467310873
"LGA43920","P",0,1.01124872173617
"LGA44000","P",0,0
"LGA44060","P",0,1.15100769595342
"LGA44210","P",0,0.763712103679704
"LGA44340","P",0,0.976776483296042
"LGA44550","P",0,1.19771236937449
"LGA44620","P",0,1.17978383315573
"LGA44830","P",0,0.733240223463687
"LGA45040","P",0,1.03077955700451
"LGA45090","P",0,1.0252080569292
"LGA45120","P",0,1.2157382847038
"LGA45290","P",0,0.910581980657203
"LGA45340","P",0,1.13752203686603
"LGA45400","P",0,1.00558659217877
"LGA45540","P",0,0.65554231227652
"LGA45680","P",0,1.62019424428233
"LGA45890","P",0,1.19524870081663
"LGA46090","P",0,1.18771726535342
"LGA46300","P",0,1.2514220705347
"LGA46450","P",0,1.07118175535591
"LGA46510","P",0,1.13509036878258
"LGA46670","P",0,0.87598944591029
"LGA46860","P",0,0.58055152394775
"LGA46970","P",0,2.18846549948507
